Country,Alpha-2,Alpha-3,Continent,Anthem
Albania,AL,ALB,Europe,"Around our flag we stand united, With one wish and one goal, A sacred oath we bestow upon it Proclaiming loyalty for our salvation. From war abstains only he, Who a traitor is born, He who is a true man is not frightened, But dies a warrior to the cause. With weapons in our hands a-brandished, We will defend our fatherland, Our sacred rights weÃ¢â‚¬â„¢ll not relinquish, The foe has no place in our land. For God himself proclaimed The nations of the earth shall wane, And yet will live, will thrive Albania. For you, for you we fight. O Flag, flag, you sacred symbol Upon you we now swear For Albania, our dear fatherland For honour and your glory. Brave man is named and honoured The one who sacrificed himself for the fatherland Forever he will be remembered On earth and under as a saint!"
Armenia,AM,ARM,Europe,"Our Fatherland, free, independent, That has for centuries lived, Is now summoning its sons To the free, independent Armenia. Here is a flag for you, my brother, That I have sewn by hand Over the sleepless nights, And bathed in my tears. Look at it, tricolored, A valuable symbol for us. Let it shine against the enemy. Let you, Armenia, be glorious forever. Death is the same everywhere, A man dies but once, Blessed is the one that dies For the freedom of his nation."
Austria,AT,AUT,Europe,"Land of mountains, land by the river, Land of fields, land of cathedrals, Land of hammers, with a promising future! Home to great daughters and sons, People highly gifted for beautiful arts, Much-praised Austria! Strongly feuded for, fiercely hard-fought for, Thou liest in the middle of the continent Like a strong heart, Since the early days of the ancestors thou hast Borne the burden of a high mission, Much-tried Austria. Bravely towards the new ages See us striding, free, and faithful, Assiduous and full of hope, Unified, let us in jolly choirs Pledge allegiance to thee, Fatherland Much-beloved Austria. "
Azerbaijan,AZ,AZE,Europe,"Azerbaijan, Azerbaijan! The glorious Fatherland of our valorous fathers! We stand at the ready to die for thee! We stand at the ready to shed our blood! All so that we may live blissfully under thy tri-color banner! All so that we may live blissfully under thy tri-color banner! Thousands of martyrs had died for thy cause, Thy sweeping plains had become fields of battle! And our warriors had bravely defended thee! Each one a hero in the storied annals of our land! Thou hast now become our rosegarden, Our hearts we are ever-ready to sacrifice! Thy neverÃ¢â‚¬â€œending love for us Hast earned thou a place in our hearts! To uphold thy honor, To keep thy flag waving, To uphold thy honor, The young stand at the ready! The glorious Fatherland! The glorious Fatherland! Azerbaijan! Azerbaijan! Azerbaijan! Azerbaijan!"
Belarus,BY,BLR,Europe,"We, Belarusians, are peaceful people, Wholeheartedly devoted to our Motherland. We are faithful friends, growing up Living in a hardworking and independent family. Glory to the blessed name of our land, Glory to the brotherly union of peoples! Our dearly beloved Motherland, May you live long and prosper, Belarus! Together with our brothers, we for centuries Courageously defended our home's threshold. In battles for freedom, and battles for our lot We have won our banners of victory! Glory to the blessed name of our land, Glory to the brotherly union of peoples! Our dearly beloved Motherland, May you live long and prosper, Belarus! Friendship of peoples is the strength of peoples And it is our sacred sunlit path. Proudly we fly in the clear blue skies, The banner of victory, the sunshine's flag!"
Belgium,BE,BEL,Europe,"O dear Belgium, O holy land of the fathers Ã¢â‚¬â€œ Our soul and our heart are devoted to you! With blood to spill for you, O fatherland! We swear with one cry Ã¢â‚¬â€œ You shall live! So gladly bloom in beauty full, Into what freedom has taught you to be, And evermore shall sing your sons: The King, the Law, the Liberty! Faithful to the word that you may speak boldly, For King, for Freedom and for Law! To Law and King and Freedom, hail! The King, the Law, the Liberty"
Bosnia and Herzegovina,BA,BIH,Europe,"You're the light of the soul Eternal fire's flame Mother of ours, o land of Bosnia I belong to you The beautiful blue sky Of Herzegovina In the heart are your rivers Your mountains Proud and famous Land of ancestors You shall live in our hearts Ever more Generations of yours Show up as one We go into the future Together!"
Bulgaria,BG,BGR,Europe,"Proud Balkan Mountains, next to it the Danube sparkles, the sun shines over Thrace, and blazes over Pirin. Dear Motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless Countless fighters died, for our beloved people, mother, give us manly strength to continue their path Dear Motherland, you are heaven on earth, your beauty, your loveliness, ah, they are boundless Together, Bulgarian brothers! Moscow is with us in peace and war! A great party leads Our victorious society"
Croatia,HR,HRV,Europe,"Our beautiful homeland, Oh so fearless and gracious, Our fathers' ancient glory, May you be happy forever. Dear, you are our only glory, Dear, you are our only one, Dear, we love your plains, Dear, we love your mountains. Drava, Sava, keep on flowing, Danube, do not lose your vigour, Deep blue sea, tell the world, That the Croat loves his people. Whilst his fields are kissed by sunshine, Whilst his oaks are whipped by bura winds, Whilst his ancestors lie buried, Whilst his living heart beats."
Cyprus,CY,CYP,Europe,"We knew thee of old, O, divinely restored, By the lights of thine eyes, And the light of thy Sword. From the graves of our slain, Shall thy valor prevail, as we greet thee again, Hail, Liberty! Hail!"
